time,open,high,low,close,tick_volume,spread,real_volume
2024-09-26 13:15:00+00:00,70.51,70.926,70.373,70.856,757,95,0
2024-09-26 13:30:00+00:00,70.857,70.937,70.334,70.4,804,98,0
2024-09-26 13:45:00+00:00,70.399,70.774,70.297,70.753,788,96,0
2024-09-26 14:00:00+00:00,70.755,70.927,70.604,70.874,786,97,0
2024-09-26 14:15:00+00:00,70.89,71.345,70.695,71.28,737,96,0
2024-09-26 14:30:00+00:00,71.264,71.579,71.081,71.122,728,99,0
2024-09-26 14:45:00+00:00,71.138,71.431,71.043,71.35,723,96,0
2024-09-26 15:00:00+00:00,71.366,71.465,71.126,71.193,688,96,0
2024-09-26 15:15:00+00:00,71.181,71.687,71.019,71.677,701,95,0
2024-09-26 15:30:00+00:00,71.661,71.69,71.207,71.367,644,94,0
2024-09-26 15:45:00+00:00,71.369,71.55,71.194,71.549,595,95,0
2024-09-26 16:00:00+00:00,71.552,71.567,71.29,71.364,570,95,0
2024-09-26 16:15:00+00:00,71.373,71.402,71.191,71.21,501,92,0
2024-09-26 16:30:00+00:00,71.206,71.206,70.868,70.974,553,95,0
2024-09-26 16:45:00+00:00,70.978,71.149,70.854,70.998,497,95,0
2024-09-26 17:00:00+00:00,70.997,71.225,70.948,71.04,531,96,0
2024-09-26 17:15:00+00:00,71.038,71.038,70.709,70.79,516,94,0
2024-09-26 17:30:00+00:00,70.795,70.846,70.677,70.782,493,94,0
2024-09-26 17:45:00+00:00,70.783,70.912,70.705,70.868,477,93,0
2024-09-26 18:00:00+00:00,70.873,71.028,70.873,70.957,508,94,0
2024-09-26 18:15:00+00:00,70.973,71.094,70.827,71.034,572,96,0
2024-09-26 18:30:00+00:00,71.025,71.044,70.895,70.908,336,93,0
2024-09-26 18:45:00+00:00,70.913,70.965,70.857,70.9,254,92,0
2024-09-26 19:00:00+00:00,70.901,70.931,70.831,70.864,226,92,0
2024-09-26 19:15:00+00:00,70.862,70.865,70.746,70.746,196,92,0
2024-09-26 19:30:00+00:00,70.749,70.807,70.614,70.656,243,92,0
2024-09-26 19:45:00+00:00,70.656,70.711,70.605,70.663,263,91,0
2024-09-26 20:00:00+00:00,70.665,70.758,70.661,70.751,147,93,0
2024-09-26 20:15:00+00:00,70.752,70.784,70.729,70.783,133,94,0
2024-09-26 20:30:00+00:00,70.78,70.789,70.722,70.758,110,94,0
2024-09-26 20:45:00+00:00,70.759,70.822,70.757,70.822,46,95,0
2024-09-27 00:00:00+00:00,70.596,70.596,70.527,70.567,54,107,0
2024-09-27 00:15:00+00:00,70.567,70.605,70.417,70.449,156,103,0
2024-09-27 00:30:00+00:00,70.455,70.479,70.384,70.429,161,102,0
2024-09-27 00:45:00+00:00,70.432,70.528,70.41,70.498,159,99,0
2024-09-27 01:00:00+00:00,70.497,70.755,70.444,70.684,439,95,0
2024-09-27 01:15:00+00:00,70.681,70.687,70.611,70.662,338,95,0
2024-09-27 01:30:00+00:00,70.659,70.733,70.533,70.628,395,93,0
2024-09-27 01:45:00+00:00,70.628,70.761,70.571,70.727,328,94,0
2024-09-27 02:00:00+00:00,70.723,70.74,70.582,70.637,330,93,0
2024-09-27 02:15:00+00:00,70.637,70.674,70.592,70.6,176,93,0
2024-09-27 02:30:00+00:00,70.601,70.687,70.589,70.684,261,90,0
2024-09-27 02:45:00+00:00,70.682,70.772,70.656,70.771,304,90,0
2024-09-27 03:00:00+00:00,70.764,70.773,70.7,70.732,246,90,0
2024-09-27 03:15:00+00:00,70.725,70.854,70.694,70.84,296,89,0
2024-09-27 03:30:00+00:00,70.841,70.867,70.759,70.843,183,88,0
2024-09-27 03:45:00+00:00,70.841,70.841,70.8,70.823,119,90,0
2024-09-27 04:00:00+00:00,70.824,70.881,70.808,70.845,126,89,0
2024-09-27 04:15:00+00:00,70.843,70.843,70.766,70.795,117,91,0
2024-09-27 04:30:00+00:00,70.795,70.815,70.762,70.804,93,90,0
2024-09-27 04:45:00+00:00,70.803,70.841,70.754,70.837,114,91,0
2024-09-27 05:00:00+00:00,70.84,70.935,70.829,70.919,224,94,0
2024-09-27 05:15:00+00:00,70.921,70.922,70.76,70.763,241,92,0
2024-09-27 05:30:00+00:00,70.765,70.91,70.691,70.886,435,92,0
2024-09-27 05:45:00+00:00,70.881,70.919,70.729,70.758,416,92,0
2024-09-27 06:00:00+00:00,70.76,70.894,70.76,70.894,336,100,0
2024-09-27 06:15:00+00:00,70.892,71.159,70.858,71.133,423,94,0
2024-09-27 06:30:00+00:00,71.131,71.24,71.127,71.152,383,93,0
2024-09-27 06:45:00+00:00,71.165,71.246,71.136,71.176,398,92,0
2024-09-27 07:00:00+00:00,71.174,71.212,70.983,71.007,450,91,0
2024-09-27 07:15:00+00:00,70.998,71.069,70.839,70.862,387,93,0
2024-09-27 07:30:00+00:00,70.862,71.031,70.75,71.014,364,93,0
2024-09-27 07:45:00+00:00,71.013,71.354,71.004,71.228,407,93,0
2024-09-27 08:00:00+00:00,71.233,71.377,71.099,71.374,476,97,0
2024-09-27 08:15:00+00:00,71.375,71.454,71.266,71.28,477,90,0
2024-09-27 08:30:00+00:00,71.265,71.265,71.006,71.093,399,90,0
2024-09-27 08:45:00+00:00,71.094,71.244,70.99,71.244,370,98,0
2024-09-27 09:00:00+00:00,71.246,71.382,71.155,71.196,443,98,0
2024-09-27 09:15:00+00:00,71.196,71.325,71.021,71.063,409,96,0
2024-09-27 09:30:00+00:00,71.058,71.088,70.882,70.901,414,95,0
2024-09-27 09:45:00+00:00,70.904,71.067,70.877,71.066,421,93,0
2024-09-27 10:00:00+00:00,71.058,71.166,70.99,71.128,471,92,0
2024-09-27 10:15:00+00:00,71.127,71.19,71.072,71.113,389,92,0
2024-09-27 10:30:00+00:00,71.112,71.264,71.112,71.235,339,90,0
2024-09-27 10:45:00+00:00,71.236,71.25,71.075,71.075,306,89,0
2024-09-27 11:00:00+00:00,71.069,71.185,71.061,71.167,360,93,0
2024-09-27 11:15:00+00:00,71.169,71.28,71.054,71.081,384,93,0
2024-09-27 11:30:00+00:00,71.084,71.194,71.058,71.119,386,92,0
2024-09-27 11:45:00+00:00,71.121,71.279,71.093,71.093,319,89,0
2024-09-27 12:00:00+00:00,71.092,71.209,70.954,71.022,469,94,0
2024-09-27 12:15:00+00:00,71.021,71.069,70.785,70.827,392,94,0
2024-09-27 12:30:00+00:00,70.818,70.95,70.758,70.938,471,96,0
2024-09-27 12:45:00+00:00,70.939,71.07,70.654,70.741,489,94,0
2024-09-27 13:00:00+00:00,70.743,71.035,70.57,70.839,730,97,0
2024-09-27 13:15:00+00:00,70.838,70.984,70.708,70.905,625,97,0
2024-09-27 13:30:00+00:00,70.907,71.04,70.607,70.607,691,92,0
2024-09-27 13:45:00+00:00,70.608,70.74,70.377,70.66,652,95,0
2024-09-27 14:00:00+00:00,70.653,70.906,70.517,70.906,704,97,0
2024-09-27 14:15:00+00:00,70.9,71.15,70.891,71.096,640,92,0
2024-09-27 14:30:00+00:00,71.091,71.268,71.032,71.191,608,92,0
2024-09-27 14:45:00+00:00,71.188,71.324,71.111,71.212,579,95,0
2024-09-27 15:00:00+00:00,71.223,71.239,70.944,71.03,612,93,0
2024-09-27 15:15:00+00:00,71.02,71.169,70.929,71.086,586,94,0
2024-09-27 15:30:00+00:00,71.083,71.19,70.854,71.17,558,96,0
2024-09-27 15:45:00+00:00,71.17,71.698,71.169,71.357,654,97,0
2024-09-27 16:00:00+00:00,71.353,71.694,71.231,71.675,561,95,0
2024-09-27 16:15:00+00:00,71.673,71.815,71.307,71.384,623,97,0
2024-09-27 16:30:00+00:00,71.386,71.463,71.245,71.416,534,97,0
2024-09-27 16:45:00+00:00,71.414,71.559,71.391,71.536,520,92,0
2024-09-27 17:00:00+00:00,71.54,71.694,71.38,71.48,523,93,0
2024-09-27 17:15:00+00:00,71.479,71.48,71.261,71.308,463,93,0
2024-09-27 17:30:00+00:00,71.308,71.333,70.822,70.951,524,95,0
2024-09-27 17:45:00+00:00,70.953,71.127,70.923,71.019,495,95,0
2024-09-27 18:00:00+00:00,71.022,71.567,70.95,71.501,534,94,0
2024-09-27 18:15:00+00:00,71.502,71.613,71.39,71.399,630,96,0
2024-09-27 18:30:00+00:00,71.39,71.633,71.39,71.593,378,94,0
2024-09-27 18:45:00+00:00,71.594,71.711,71.513,71.521,314,92,0
2024-09-27 19:00:00+00:00,71.522,71.535,71.465,71.522,254,95,0
2024-09-27 19:15:00+00:00,71.523,71.603,71.521,71.563,275,93,0
