time,open,high,low,close,tick_volume
2024-04-22 01:00:00,2389.8,2389.8,2381.72,2383.9,1807
2024-04-22 01:30:00,2383.73,2385.48,2383.23,2383.59,682
2024-04-22 02:00:00,2383.63,2387.23,2382.82,2386.8,1084
2024-04-22 02:30:00,2386.76,2387.68,2385.61,2386.37,1255
2024-04-22 03:00:00,2386.37,2386.37,2382.67,2383.79,1529
2024-04-22 03:30:00,2383.84,2384.37,2381.09,2382.13,1601
2024-04-22 04:00:00,2382.09,2384.24,2378.57,2378.95,2520
2024-04-22 04:30:00,2379.0,2379.82,2376.05,2378.0,2219
2024-04-22 05:00:00,2378.01,2378.06,2373.05,2375.77,1550
2024-04-22 05:30:00,2375.78,2377.22,2372.59,2372.71,1437
2024-04-22 06:00:00,2372.66,2372.69,2361.78,2364.44,2552
2024-04-22 06:30:00,2364.46,2371.33,2364.39,2369.35,1573
2024-04-22 07:00:00,2369.39,2372.9,2369.39,2372.04,1324
2024-04-22 07:30:00,2372.04,2372.26,2368.75,2369.63,1113
2024-04-22 08:00:00,2369.72,2370.22,2367.65,2369.35,1249
2024-04-22 08:30:00,2369.43,2370.44,2360.84,2365.35,2797
2024-04-22 09:00:00,2365.48,2366.97,2362.33,2364.9,2227
2024-04-22 09:30:00,2364.91,2365.04,2351.53,2355.81,2490
2024-04-22 10:00:00,2355.65,2358.79,2354.96,2358.3,2082
2024-04-22 10:30:00,2358.24,2361.09,2356.65,2361.01,1835
2024-04-22 11:00:00,2361.01,2363.05,2358.0,2358.82,1770
2024-04-22 11:30:00,2358.82,2361.92,2358.29,2359.6,1433
2024-04-22 12:00:00,2359.55,2363.63,2359.08,2362.25,1665
2024-04-22 12:30:00,2362.15,2362.46,2359.58,2361.21,1337
2024-04-22 13:00:00,2361.17,2361.46,2359.4,2359.93,1261
2024-04-22 13:30:00,2359.94,2359.94,2356.18,2357.68,1334
2024-04-22 14:00:00,2357.47,2357.47,2339.48,2341.99,2309
2024-04-22 14:30:00,2341.92,2347.92,2341.55,2342.16,1961
2024-04-22 15:00:00,2341.77,2347.4,2337.32,2346.7,2537
2024-04-22 15:30:00,2346.61,2350.29,2333.19,2336.79,2700
2024-04-22 16:00:00,2336.81,2343.74,2334.33,2337.24,2810
2024-04-22 16:30:00,2336.58,2340.31,2331.12,2338.49,3103
2024-04-22 17:00:00,2338.48,2340.43,2333.08,2340.34,2864
2024-04-22 17:30:00,2340.37,2343.77,2338.99,2341.17,2554
2024-04-22 18:00:00,2341.21,2341.8,2332.79,2334.12,2613
2024-04-22 18:30:00,2334.27,2337.87,2333.51,2334.8,1939
2024-04-22 19:00:00,2334.76,2336.43,2329.86,2331.42,1862
2024-04-22 19:30:00,2331.42,2333.21,2328.98,2329.82,1746
2024-04-22 20:00:00,2329.82,2334.77,2329.77,2332.49,1884
2024-04-22 20:30:00,2332.62,2333.63,2329.58,2329.97,1286
2024-04-22 21:00:00,2329.97,2330.95,2324.47,2325.33,1496
2024-04-22 21:30:00,2325.34,2329.0,2325.34,2327.54,1066
2024-04-22 22:00:00,2327.58,2331.64,2327.32,2329.28,998
2024-04-22 22:30:00,2329.31,2330.91,2328.73,2329.29,1069
2024-04-22 23:00:00,2329.27,2330.13,2328.54,2329.57,488
2024-04-22 23:30:00,2329.44,2329.79,2325.29,2327.25,592
2024-04-23 01:00:00,2327.71,2331.09,2326.84,2326.89,922
2024-04-23 01:30:00,2326.89,2331.28,2326.87,2330.3,659
2024-04-23 02:00:00,2330.3,2330.84,2328.08,2330.84,814
2024-04-23 02:30:00,2330.86,2333.84,2330.52,2333.69,1042
2024-04-23 03:00:00,2333.6,2333.75,2331.12,2331.45,1253
2024-04-23 03:30:00,2331.46,2333.75,2330.14,2332.61,1219
2024-04-23 04:00:00,2332.54,2334.34,2329.67,2329.7,2031
2024-04-23 04:30:00,2329.68,2330.02,2295.46,2298.5,3091
2024-04-23 05:00:00,2298.81,2314.24,2298.38,2312.08,2506
2024-04-23 05:30:00,2312.08,2313.55,2300.46,2301.83,2194
2024-04-23 06:00:00,2301.77,2304.8,2300.86,2303.05,2033
2024-04-23 06:30:00,2303.06,2307.15,2302.51,2302.56,1358
2024-04-23 07:00:00,2302.57,2307.07,2301.68,2304.8,1145
2024-04-23 07:30:00,2304.8,2308.11,2304.49,2305.47,1163
2024-04-23 08:00:00,2305.47,2314.58,2304.27,2310.63,1504
2024-04-23 08:30:00,2310.63,2311.53,2305.37,2308.38,2084
2024-04-23 09:00:00,2308.25,2309.97,2301.25,2302.63,2024
2024-04-23 09:30:00,2302.63,2304.58,2298.89,2301.88,2079
2024-04-23 10:00:00,2301.84,2310.1,2301.32,2308.38,2001
2024-04-23 10:30:00,2308.67,2311.2,2306.88,2309.03,2065
2024-04-23 11:00:00,2309.03,2309.65,2305.65,2307.69,1942
2024-04-23 11:30:00,2307.71,2307.98,2301.93,2303.11,1789
2024-04-23 12:00:00,2303.23,2303.38,2291.39,2295.45,2196
2024-04-23 12:30:00,2295.41,2299.56,2293.91,2295.68,1917
2024-04-23 13:00:00,2295.66,2300.57,2295.48,2299.53,1369
2024-04-23 13:30:00,2299.53,2305.98,2298.01,2303.31,1631
2024-04-23 14:00:00,2303.26,2303.26,2299.77,2301.45,1702
2024-04-23 14:30:00,2301.45,2302.99,2300.49,2302.14,1538
2024-04-23 15:00:00,2302.16,2310.32,2301.3,2308.28,2065
2024-04-23 15:30:00,2308.3,2313.5,2305.21,2311.75,2322
2024-04-23 16:00:00,2311.75,2316.77,2309.57,2311.84,2385
2024-04-23 16:30:00,2311.73,2330.68,2310.62,2329.04,3106
