agent_idx,final_equity,winrate,trades,max_drawdown
2010,16.95824,0.36285362,2439,0.05070651
143,16.942184,0.5730756,2949,0.08097353
5225,16.831041,0.56363636,1375,0.025280828
5435,16.815119,0.42589495,2989,0.05908503
2383,16.792965,0.47176686,3843,0.14084892
913,16.701447,0.36356664,5215,0.106379636
726,16.631254,0.39582217,3734,0.07302526
981,16.572414,0.48337927,6167,0.19952722
3269,16.507559,0.44,2975,0.080556646
4107,16.479095,0.54601574,1782,0.035027526
1892,16.475464,0.46999532,4266,0.068329535
1366,16.222164,0.5884001,3569,0.06866972
1048,16.212097,0.43115124,1329,0.10037607
637,16.189177,0.49610677,899,0.07198477
3570,16.180876,0.49959466,4934,0.1673842
6435,16.0903,0.4534687,1773,0.037233002
3202,16.088629,0.6027447,2769,0.037314422
3138,15.845665,0.3557568,2319,0.062273484
3817,15.8123045,0.5790378,1746,0.0606519
3220,15.791943,0.49767008,5365,0.12476474
1789,15.7883005,0.6624642,1745,0.033956748
4334,15.684886,0.45740497,1526,0.07845922
5730,15.644991,0.5737399,3214,0.047751974
3534,15.630968,0.53491867,3995,0.05995643
5803,15.566727,0.40616894,3469,0.0955339
6190,15.564552,0.50741625,4180,0.042936377
2731,15.552684,0.6341367,2531,0.09702493
3304,15.548968,0.49407116,3542,0.10742673
3160,15.486645,0.3890593,1956,0.056322157
6661,15.47271,0.40201807,3766,0.060538128
1373,15.462082,0.7179931,1156,0.019036222
689,15.378815,0.4469914,8376,0.17867512
2331,15.354806,0.4636662,4266,0.08820002
1612,15.349973,0.5552022,4402,0.2712222
1386,15.302555,0.30283913,3804,0.12518239
6018,15.302473,0.39402175,1840,0.052964788
6671,15.29617,0.62526315,1425,0.054338664
5046,15.287624,0.5501271,3541,0.07904784
3222,15.230266,0.53038895,2468,0.050400756
2408,15.222674,0.619201,3104,0.15744202
4864,15.214678,0.5191002,2356,0.04621035
6701,15.211075,0.39280814,3643,0.06481345
3855,15.207974,0.39456937,2357,0.036038008
237,15.15071,0.37912673,1878,0.038332764
4721,15.104123,0.5404307,2461,0.050799433
2037,15.10376,0.3098431,3505,0.0878349
870,15.055564,0.64291996,1137,0.03128428
6244,15.031681,0.348479,5194,0.14458627
3438,15.009388,0.50744784,3021,0.082610145
3588,14.997725,0.61360544,1470,0.048994064
58,14.920363,0.5055402,5054,0.11032923
4636,14.888843,0.55789477,3230,0.046386488
5818,14.887233,0.5311419,1734,0.053458035
49,14.796477,0.48439717,1410,0.03191825
1738,14.782789,0.48916256,2030,0.03244133
1790,14.781657,0.53165066,2496,0.033171397
1564,14.733081,0.51621073,1974,0.04136473
1808,14.678158,0.43302622,1411,0.081054054
1362,14.632836,0.6122449,2401,0.07225591
2549,14.631532,0.50683683,4388,0.15081899
6437,14.611963,0.4562702,7432,0.1499614
4554,14.607807,0.55149406,3447,0.039339602
1763,14.590962,0.48743424,5133,0.105232894
5502,14.585298,0.65244955,1735,0.035070553
4641,14.573983,0.6464135,1185,0.01851884
6185,14.554816,0.34258142,1658,0.06379676
3743,14.537262,0.44444445,5130,0.113532096
4432,14.529447,0.4515072,3052,0.058434606
373,14.512297,0.52646047,4365,0.104269385
631,14.496076,0.44886938,2963,0.05627023
633,14.485264,0.46401227,7183,0.20533608
2803,14.460647,0.47184125,3427,0.07639226
6458,14.457093,0.5491849,1779,0.038866278
4507,14.443699,0.4006734,2376,0.048383787
5227,14.368595,0.38920164,3908,0.045208614
3194,14.330886,0.49377963,3376,0.13396585
2115,14.278946,0.44128114,3372,0.08250257
1869,14.209303,0.5245732,1933,0.06661721
868,14.137163,0.5532102,2274,0.06425929
2122,14.103242,0.5992462,1592,0.06346889
1768,14.092466,0.39944133,3580,0.09512314
3732,14.080071,0.5073892,1827,0.06341246
4677,14.061124,0.47288504,3688,0.08855027
82,14.030491,0.40882695,1722,0.032015562
4482,13.994677,0.46392456,7318,0.14482258
437,13.988939,0.48688272,2592,0.10068529
6142,13.987297,0.5039858,2258,0.06405186
1370,13.915051,0.5857143,2730,0.08528881
783,13.876975,0.4366001,2153,0.15795247
5972,13.854123,0.6245614,1140,0.038240075
883,13.813583,0.3744232,1517,0.076708496
4308,13.771702,0.52380955,2478,0.044139307
1281,13.750366,0.5483495,2575,0.042735554
2295,13.73377,0.37010956,5112,0.17897429
495,13.694973,0.4799324,2367,0.039938495
1906,13.665449,0.3782984,4055,0.07385099
3597,13.638109,0.512619,4200,0.11170021
3813,13.620717,0.33975482,2855,0.062028214
5056,13.590751,0.41085526,3040,0.05124005
6596,13.58393,0.36152798,2932,0.07135779
1806,13.548692,0.47633505,5599,0.090905055
1021,13.464834,0.5237899,4855,0.15583172
1579,13.437347,0.358409,4626,0.09333517
1063,13.397689,0.44006777,2361,0.031664703
6693,13.395176,0.46991405,3490,0.11440438
5644,13.392984,0.3925975,3026,0.099245176
2223,13.314837,0.47708896,5565,0.11562399
5899,13.281629,0.4513889,3024,0.067054495
268,13.269548,0.4630626,4088,0.10613741
6529,13.211216,0.42186993,3091,0.05949904
2034,13.19576,0.46193853,2115,0.026301583
4682,13.177271,0.4644727,2674,0.04880182
3395,13.173414,0.5101261,2617,0.095647156
4485,13.128726,0.4469013,3211,0.07403915
1787,13.114215,0.35682738,5434,0.14886965
584,13.087134,0.50479704,2710,0.06906156
5250,13.0694,0.41098985,2657,0.10987045
185,13.057349,0.58753407,2936,0.06160098
17,13.041536,0.5373333,1500,0.031147605
4761,13.025382,0.39732978,3745,0.048241377
4977,13.024234,0.4832536,3553,0.099182725
6501,13.020907,0.45999485,3887,0.052841555
25,13.015204,0.3587516,3108,0.06507141
1180,12.993275,0.33632812,2560,0.106500104
5581,12.9582815,0.5451963,3872,0.41609755
5468,12.915212,0.47473148,5679,0.12245223
851,12.900371,0.52169985,1106,0.025286645
1410,12.896871,0.43820226,1246,0.051443577
4830,12.889455,0.39841688,2274,0.06304073
6025,12.875215,0.45325541,1198,0.055299398
3729,12.857107,0.36070174,2850,0.06564091
6426,12.809167,0.4632526,7225,0.1918297
6412,12.779442,0.430099,5050,0.09468791
836,12.757405,0.54435325,2559,0.04573664
3184,12.751776,0.69698316,2254,0.17157952
1845,12.748924,0.46646458,2639,0.070127904
3002,12.739705,0.38856795,3289,0.04400743
4674,12.705423,0.43898574,1262,0.03272053
716,12.689363,0.42023057,2689,0.044226788
4740,12.65086,0.6103388,2302,0.06372916
1969,12.647321,0.375826,3632,0.0769642
2490,12.626228,0.4335443,2528,0.08369743
1482,12.582968,0.45825887,3917,0.06574193
5013,12.574897,0.48727497,1611,0.1172796
3170,12.552252,0.45773605,2023,0.07692999
6301,12.551936,0.42270938,1779,0.0486401
1430,12.540328,0.53698224,2028,0.03592518
5291,12.536036,0.3438278,5622,0.1382079
2340,12.48323,0.49516976,3623,0.17735402
1707,12.475655,0.44333863,7536,0.15836352
2114,12.465948,0.5405665,2083,0.06362481
767,12.428238,0.56608146,3019,0.106428444
4150,12.425398,0.3386076,1896,0.08032638
4090,12.416668,0.394792,3341,0.101896375
2074,12.363637,0.40433213,1939,0.04779452
2608,12.356428,0.46414343,7530,0.2499219
5330,12.327857,0.44691107,7883,0.21020782
1705,12.313339,0.56071806,1894,0.043881617
2778,12.299295,0.39766267,3166,0.062343758
6684,12.251107,0.45920205,3885,0.08394349
2739,12.241461,0.49831793,2378,0.11889931
2257,12.236994,0.49336058,2937,0.05129747
3602,12.2007265,0.5238956,3871,0.08829225
4165,12.19931,0.5277911,4174,0.075355455
1171,12.197212,0.34062374,2469,0.06645314
1202,12.194576,0.3675092,4906,0.14344427
1042,12.185424,0.41335332,1333,0.05456023
3811,12.184327,0.3853554,3742,0.10741532
6156,12.178448,0.6174699,2988,0.25689462
3156,12.155591,0.44283855,7680,0.16050707
5880,12.151758,0.4019454,3187,0.084064186
959,12.13362,0.48472777,2259,0.04391585
4082,12.114239,0.5768881,2198,0.045902427
110,12.114116,0.43584734,7677,0.1614176
3932,12.107643,0.35762656,3101,0.065114446
3191,12.091495,0.33079696,2497,0.07215298
5946,12.076127,0.41980088,1808,0.076616436
3931,12.063066,0.4001196,3344,0.10904485
