agent_idx,final_equity,winrate,trades,max_drawdown,sharpe,orders_placed,orders_cancelled
3744,2.0586185,0.27622843,753,0.13862243,2.096924105162884,1114,361
2432,2.058405,0.34575087,859,0.038843747,4.262750216424435,958,99
929,2.0578265,0.27459016,976,0.117284834,2.329607188295274,1320,344
48,2.0577638,0.34052387,649,0.0405128,3.6731372362004113,801,152
413,2.0575132,0.24940048,417,0.10350609,2.1427759149652026,456,39
2954,2.0574908,0.32497838,1157,0.0718386,2.698904513367913,1520,363
734,2.0560467,0.51785713,280,0.021315813,5.045290179864747,296,16
1944,2.0557578,0.38425198,635,0.0372966,3.5553674851023507,812,177
4053,2.0548337,0.30592504,827,0.041122403,3.276773056101684,980,153
3469,2.0546165,0.23809524,672,0.13813394,2.0154928748881287,1022,350
464,2.0539865,0.2624161,1490,0.08327429,2.482382653287426,2034,544
3222,2.0536687,0.28492647,544,0.07213872,2.3481188934825323,797,253
876,2.052281,0.31064853,1249,0.091894895,2.3720396159296455,1860,610
2726,2.0520587,0.28753993,313,0.04230481,3.1974584768878875,349,36
47,2.0499732,0.2871795,195,0.05613695,2.5089022407287938,228,32
2905,2.049693,0.3198826,1363,0.114254065,2.4287546353614746,1867,504
1464,2.0488663,0.45,160,0.016781932,4.147960433005325,172,12
3543,2.0488362,0.5058594,512,0.02326051,4.532633786684314,589,77
475,2.048316,0.26229507,366,0.06533977,2.3013733318548257,454,88
2029,2.047956,0.39174706,1866,0.066812344,2.5873973466168025,2688,821
1200,2.0468266,0.34635693,947,0.08671907,2.882236809136993,1175,228
556,2.0467973,0.2914573,199,0.06065121,2.6559046746807913,240,40
1880,2.0465226,0.34375,96,0.025661135,2.76925923852184,106,10
2890,2.0464785,0.30786517,445,0.07760304,2.4369796589012345,598,152
2625,2.0461621,0.25164112,457,0.091670476,2.0859895182320427,616,159
2188,2.0453737,0.23466666,375,0.10184034,1.9298342214303879,490,114
4084,2.044182,0.26168224,856,0.15461278,2.121474681669837,1357,501
639,2.0438962,0.27181545,997,0.076442406,2.3263224871306623,1433,436
1161,2.0436532,0.23354565,471,0.13489768,1.959023143059772,571,99
