filter_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
25487,22.802225,0.40810028,10691,22,11.541666666666666,10.237432
78112,22.800873,0.41805914,9336,13,9.5,10.887529
38759,22.79807,0.41547397,9642,13,9.958333333333334,10.728606
62627,22.793446,0.41527003,9666,15,10.208333333333334,10.712934
66508,22.787884,0.41787052,9345,14,9.5,10.8760805
62171,22.786343,0.41303694,9987,17,10.583333333333334,10.553678
57394,22.785856,0.4237931,8700,14,9.583333333333334,11.231265
46732,22.781689,0.4189526,9223,14,9.541666666666666,10.938251
85946,22.780125,0.42220467,8863,12,9.416666666666666,11.134694
82645,22.779749,0.41205534,10120,18,10.875,10.487398
57898,22.77728,0.41506708,9690,16,9.875,10.69428
45946,22.77681,0.41384208,9854,14,9.625,10.61404
96345,22.77596,0.41400304,9855,15,10.166666666666666,10.611959
13696,22.775053,0.41564766,9650,16,9.375,10.7136
40866,22.769981,0.417358,9402,15,9.708333333333334,10.836986
32152,22.76937,0.41205034,10091,14,9.708333333333334,10.495904
53813,22.76851,0.40708616,10838,18,10.666666666666666,10.158692
55798,22.766811,0.4144273,9787,17,9.75,10.64183
85102,22.766531,0.4145842,9764,14,9.708333333333334,10.652433
15580,22.766262,0.41986158,9103,13,9.75,10.995051
46079,22.7638,0.42137593,8954,12,9.166666666666666,11.075964
9595,22.76218,0.42342135,8710,15,9.708333333333334,11.213696
41345,22.755402,0.41513145,9662,14,9.875,10.69659
11904,22.7525,0.40928593,10489,19,11.0,10.304858
23764,22.751549,0.4129977,9971,13,9.833333333333334,10.545287
46408,22.75051,0.41399327,9819,19,10.208333333333334,10.616583
36282,22.750101,0.40981877,10429,18,10.916666666666666,10.331326
3173,22.74612,0.42298037,8764,13,9.5,11.174413
75519,22.745022,0.40885442,10571,19,11.166666666666666,10.266681
36888,22.74263,0.4062017,10997,19,11.083333333333334,10.081422
95633,22.741707,0.4166315,9476,13,9.541666666666666,10.786114
68256,22.740807,0.41515276,9688,14,9.708333333333334,10.678349
60399,22.735348,0.41394025,9842,18,10.583333333333334,10.600237
50079,22.73373,0.424755,8572,12,9.208333333333334,11.280336
37020,22.732079,0.41313985,9924,14,9.875,10.55832
98778,22.727072,0.41727078,9380,14,10.041666666666666,10.828785
42769,22.72668,0.4159774,9551,13,9.708333333333334,10.740657
32212,22.724976,0.41433978,9777,14,9.875,10.628118
35525,22.724384,0.414162,9815,16,10.208333333333334,10.607788
19161,22.715046,0.41195124,10091,15,9.791666666666666,10.469108
30972,22.712667,0.4170737,9418,13,9.875,10.802798
70850,22.711954,0.41778255,9335,13,9.625,10.845301
94612,22.710045,0.41234025,10016,14,10.333333333333334,10.503737
27052,22.700388,0.40659744,10883,17,9.916666666666666,10.109467
46621,22.699986,0.41350338,9879,12,9.75,10.565802
62919,22.69938,0.4123138,10070,15,9.625,10.473021
97052,22.699377,0.41517857,9632,13,9.625,10.686365
23253,22.697838,0.42581865,8459,14,9.416666666666666,11.328748
30674,22.6966,0.41383877,9813,14,9.75,10.595848
8500,22.694916,0.4148049,9713,17,10.166666666666666,10.64672
10733,22.692947,0.4048322,11175,21,11.166666666666666,9.98426
62365,22.69118,0.40599728,11005,20,11.333333333333334,10.055199
20826,22.68837,0.4064758,10933,20,11.708333333333334,10.083464
90580,22.687723,0.42052025,8996,12,9.708333333333334,11.015795
77367,22.683212,0.42077112,8974,12,9.208333333333334,11.026322
24669,22.681074,0.4214654,8926,13,9.75,11.051417
24621,22.680563,0.41270635,9995,23,11.25,10.5011425
349,22.680523,0.41139427,10163,18,10.625,10.422043
61293,22.678398,0.41059086,10273,15,10.166666666666666,10.370109
44141,22.67792,0.41259652,9971,15,10.541666666666666,10.510899
15555,22.677011,0.4116716,10110,14,9.875,10.445006
19781,22.676065,0.4093735,10455,15,10.458333333333334,10.286024
28514,22.673973,0.4099247,10358,18,10.0,10.326947
35478,22.668726,0.41894394,9185,13,9.708333333333334,10.9047
80079,22.66294,0.4155574,9616,15,10.041666666666666,10.678687
27331,22.658545,0.41914335,9152,13,9.416666666666666,10.916948
32219,22.658484,0.41024396,10289,15,10.416666666666666,10.352542
68143,22.65782,0.4178288,9322,13,9.208333333333334,10.8275175
68330,22.655678,0.416106,9512,13,9.541666666666666,10.72757
46641,22.653412,0.40769807,10704,16,10.5,10.167277
94250,22.652777,0.40669373,10846,15,10.208333333333334,10.104992
29639,22.652065,0.40679216,10836,20,9.916666666666666,10.10755
93304,22.650862,0.41509238,9634,13,10.083333333333334,10.66406
